Date,Adj Close,GOOGL_Close(t),High,Low,Open,Volume,GOOGL_Close(t-1),GOOGL_Close(t-2),GOOGL_Close(t-5),GOOGL_Close(t-10),GOOGL_Open(t-1),MA5,MA10,MA50,MA200,EMA10,EMA20,EMA50,EMA100,EMA200,SD20,Upper_Band,Lower_Band,MACD,MACD_EMA,STD5,ATR,ADX,CCI,ROC,RSI,William%R,SO%K,ForceIndex1,ForceIndex20,GOOGL_Close(t+1),Adj Close_QQQ,QQQ_Close,QQQ(t-1),QQQ(t-2),QQQ(t-5),QQQ_MA10,QQQ_MA20,QQQ_MA50,Adj Close_SnP,SnP_Close,SnP(t-1),SnP(t-5),Day,DayofWeek,DayofYear,Week,Is_month_end,Is_month_start,Is_quarter_end,Is_quarter_start,Is_year_end,Is_year_start,Is_leap_year,Year,Month
2009-10-16 00:00:00+00:00,13.726022720336914,13.760009765625,13.882633209228516,13.626876831054688,13.69694709777832,353322324,13.261011123657227,13.396395683288574,12.919169425964355,12.126626968383789,13.357107162475586,13.339489364624024,13.014164066314697,12.049644584655761,10.108359591960907,13.097504621269593,12.763358343869195,12.150454882979332,11.45061416552922,10.522486958185185,0.45156456951288126,13.601977958758429,11.795719680706902,0.40450289945638396,0.3208060089872812,0.017655533099206006,0.2615536044503099,43.811119096724916,139.25674300406936,13.46939096502038,78.54235121982458,-6.79144947109831,93.2085505289017,176307359.85289764,23629379.339205284,13.816065788269043,37.36469268798828,42.779998779296875,43.060001373291016,43.15999984741211,42.47999954223633,42.40800018310547,42.21400032043457,41.10499992370605,1087.6800537109375,1087.6800537109375,1096.56005859375,1071.489990234375,16,4,289,42,0,0,0,0,0,0,0,2009,10
2009-10-19 00:00:00+00:00,13.781939506530762,13.816065788269043,13.853854179382324,13.731982231140137,13.83108139038086,128587284,13.760009765625,13.261011123657227,13.114113807678223,12.225225448608398,13.69694709777832,13.479879760742188,13.173248100280762,12.097187118530274,10.13723471403122,13.228152106178584,12.863616195716798,12.215772957696576,11.497454791722088,10.555258886842736,0.5108871249745965,13.789554506220554,11.746006006322169,0.4382762235826547,0.34430005190635593,0.01798476812305657,0.2515763432925869,45.36163918623606,129.94791118973592,13.012768937048358,79.11335552730824,-3.6868094923948758,96.31319050760513,7208091.703639984,22065447.18343716,13.806806564331055,37.740257263183594,43.209999084472656,42.779998779296875,43.060001373291016,42.56999969482422,42.60800018310547,42.24600028991699,41.171599884033206,1097.9100341796875,1097.9100341796875,1087.6800537109375,1076.18994140625,19,0,292,43,0,0,0,0,0,0,0,2009,10
2009-10-20 00:00:00+00:00,13.772703170776367,13.806806564331055,13.8375883102417,13.531030654907227,13.804804801940918,161586252,13.816065788269043,13.760009765625,13.165916442871094,12.48098087310791,13.83108139038086,13.60805778503418,13.305830669403075,12.144789714813232,10.165221450328827,13.33336200766085,12.953443849870537,12.278166432466556,11.543184529793553,10.58761259507645,0.556025666636383,13.945722473943544,11.72161980739801,0.45900357677390957,0.3672407568798667,0.018523173098589585,0.2555035798670073,45.48144377921249,110.62030688834042,10.622768392184856,78.74062659121454,-4.199627838287655,95.80037216171235,-1496163.2925682068,19821484.28096046,13.791291236877441,37.74897003173828,43.220001220703125,43.209999084472656,42.779998779296875,42.58000183105469,42.73600044250488,42.2745002746582,41.24399993896484,1091.06005859375,1091.06005859375,1097.9100341796875,1073.18994140625,20,1,293,43,0,0,0,0,0,0,0,2009,10
2009-10-21 00:00:00+00:00,13.75722599029541,13.791291236877441,13.997748374938965,13.738739013671875,13.76151180267334,146677176,13.806806564331055,13.816065788269043,13.396395683288574,12.951451301574707,13.804804801940918,13.687036895751953,13.38981466293335,12.19341833114624,10.19237860441208,13.416621867518412,13.03323883910929,12.337504660090513,11.587701494290263,10.619489994497357,0.5882630306655999,14.076063052450586,11.723010929788185,0.4687744561237608,0.3875474967286455,0.018430544582303077,0.255753992824156,45.92350041897936,114.30863032287098,6.484523747548061,78.07682772614514,-10.749216721202401,89.2507832787976,-2275744.415611267,17716986.309858393,13.86611557006836,37.67911911010742,43.13999938964844,43.220001220703125,43.209999084472656,43.15999984741211,42.844000244140624,42.309000205993655,41.32159996032715,1081.4000244140625,1081.4000244140625,1091.06005859375,1092.02001953125,21,2,294,43,0,0,0,0,0,0,0,2009,10
2009-10-22 00:00:00+00:00,13.831865310668945,13.86611557006836,13.88888931274414,13.713713645935059,13.763764381408691,93366540,13.791291236877441,13.806806564331055,13.261011123657227,12.867366790771484,13.76151180267334,13.80805778503418,13.489689540863036,12.241221122741699,10.221417644023894,13.498347995254766,13.112560432533964,12.397450185971998,11.63281860470171,10.651794726592591,0.6150532689329131,14.201365225838849,11.741152150107197,0.47705643710968637,0.4054492848048537,0.01622224068670446,0.2499983981087936,46.176877226546104,100.82021053193708,7.761873859173586,78.99642455089182,-6.920204096059715,93.0797959039403,6986089.09784317,16694996.099190276,13.85610580444336,37.82759475708008,43.310001373291016,43.13999938964844,43.220001220703125,43.060001373291016,42.95100021362305,42.37100028991699,41.39040000915527,1092.9100341796875,1092.9100341796875,1081.4000244140625,1096.56005859375,22,3,295,43,0,0,0,0,0,0,0,2009,10
2009-10-23 00:00:00+00:00,13.821880340576172,13.85610580444336,13.961211204528809,13.793793678283691,13.895145416259766,95612292,13.86611557006836,13.791291236877441,13.760009765625,12.919169425964355,13.763764381408691,13.827276992797852,13.583383178710937,12.286971855163575,10.250008733272553,13.56339486965269,13.183374277477716,12.45465236708852,11.676844093805505,10.683678418909516,0.6255368895114031,14.298921574509258,11.796774016463644,0.4773101282355867,0.41982145349100036,0.0031028671381045396,0.24409976440424527,46.56801513265164,94.56549895751672,7.252295775268587,78.52190877947264,-8.366644509289198,91.6333554907108,-957056.6337890625,15013848.21985891,13.869118690490723,37.670387268066406,43.130001068115234,43.310001373291016,43.13999938964844,42.779998779296875,43.01600036621094,42.442500305175784,41.45120002746582,1079.5999755859375,1079.5999755859375,1092.9100341796875,1087.6800537109375,23,4,296,43,0,0,0,0,0,0,0,2009,10
2009-10-26 00:00:00+00:00,13.834861755371094,13.869118690490723,14.055054664611816,13.786035537719727,13.907657623291016,118697184,13.85610580444336,13.86611557006836,13.816065788269043,13.114113807678223,13.895145416259766,13.837887573242188,13.658883666992187,12.334123992919922,10.279931151866913,13.618981018895967,13.24868326919324,12.510121634672922,11.720255471957687,10.715374342009826,0.6359707516066665,14.389458926843092,11.845575920416428,0.4731075224122421,0.43047866727524875,0.002719751091425315,0.24587971886766274,47.127746803535665,87.88013164019063,5.75719331008436,78.70102557454612,-11.640304512582249,88.35969548741775,1544592.929534912,13731062.001732815,13.72097110748291,37.54812240600586,42.9900016784668,43.130001068115234,43.310001373291016,43.209999084472656,43.058000564575195,42.471500396728516,41.518400039672855,1066.949951171875,1066.949951171875,1079.5999755859375,1097.9100341796875,26,0,299,44,0,0,0,0,0,0,0,2009,10
2009-10-27 00:00:00+00:00,13.687079429626465,13.72097110748291,13.877878189086914,13.6176176071167,13.78803825378418,128531340,13.869118690490723,13.85610580444336,13.806806564331055,13.165916442871094,13.907657623291016,13.82072048187256,13.71438913345337,12.385875759124756,10.309410631656647,13.63752467136632,13.293663063316066,12.557605927724294,11.759873603354226,10.74528077748717,0.6307658531715936,14.441311378965867,11.918247966279495,0.45260530299546886,0.4349039944192928,0.005886576016466032,0.2469069233749879,46.554621322010505,61.8211246168429,4.215845262426529,71.40060094783351,-27.639706711965935,72.36029328803406,-19041607.36175537,10609855.395686321,13.521020889282227,36.98038101196289,42.34000015258789,42.9900016784668,43.130001068115234,43.220001220703125,43.034000396728516,42.47750034332275,41.595600051879885,1063.4100341796875,1063.4100341796875,1066.949951171875,1091.06005859375,27,1,300,44,0,0,0,0,0,0,0,2009,10
2009-10-28 00:00:00+00:00,13.48762321472168,13.521020889282227,13.763764381408691,13.469719886779785,13.71045970916748,102609288,13.72097110748291,13.869118690490723,13.791291236877441,13.396395683288574,13.78803825378418,13.766666412353516,13.726851654052734,12.433433322906494,10.337686405181884,13.61634216553285,13.315316189598557,12.59538690660892,11.794747807035968,10.772900082082147,0.6078173490233503,14.45103246606733,12.019763069973928,0.41543397062734044,0.43100998966090237,0.008372236325536757,0.2502738927502678,45.17108760599815,38.25472764309453,0.9302890787939095,62.917559422700975,-45.26938101058704,54.73061898941296,-20516749.525016785,7645416.831809834,13.790040016174316,36.15065002441406,41.38999938964844,42.34000015258789,42.9900016784668,43.13999938964844,42.85700035095215,42.43450031280518,41.64280006408691,1042.6300048828125,1042.6300048828125,1063.4100341796875,1081.4000244140625,28,2,301,44,0,0,0,0,0,0,0,2009,10
2009-10-29 00:00:00+00:00,13.755977630615234,13.790040016174316,13.80955982208252,13.538538932800293,13.588838577270508,100803096,13.521020889282227,13.72097110748291,13.86611557006836,13.261011123657227,13.71045970916748,13.751451301574708,13.779754543304444,12.487026920318604,10.368977694511413,13.647923592922206,13.360527982605772,12.642236048160505,11.834258543850588,10.802921374958688,0.5671299245441116,14.449550014035733,12.181030315859285,0.40303705686447344,0.4254154031016166,0.013401911458507195,0.25300710989669817,44.03085419862482,43.49582856242254,3.989355619899292,68.36362001429896,-25.02361542472195,74.97638457527806,27117960.873939514,9499944.835822184,13.41641616821289,36.762020111083984,42.09000015258789,41.38999938964844,42.34000015258789,43.310001373291016,42.760000228881836,42.48900032043457,41.69860008239746,1066.1099853515625,1066.1099853515625,1042.6300048828125,1092.9100341796875,29,3,302,44,0,0,0,0,0,0,0,2009,10
